date,close,btc_vol_30d,drawdown,macro_pressure,risk_regime,vix,us10y
2025-12-25,74027.921875,39.628419736751155,-0.8684924883736425,16.052223708026133,LOW,13.470000267028809,4.136000156402588
2025-12-26,74150.78125,37.753332703935286,-0.8684924883736425,16.414467733601207,LOW,13.600000381469727,4.136000156402588
2025-12-27,74569.7578125,37.66704238128587,-0.8684924883736425,12.065192138411675,LOW,13.600000381469727,4.136000156402588
2025-12-28,74610.0390625,37.666446296351644,-0.8684924883736425,11.9249628304602,LOW,13.600000381469727,4.136000156402588
2025-12-29,74005.8125,37.73603415573951,-0.8684924883736425,22.08506016269758,LOW,14.199999809265137,4.116000175476074
2025-12-30,75287.9140625,38.284420951987244,-0.8684924883736425,28.44818196766069,LOW,14.329999923706055,4.130000114440918
2025-12-31,74586.5703125,34.91435403155922,-0.8684924883736425,43.388475411279195,LOW,14.949999809265137,4.163000106811523
2026-01-01,75510.03125,28.885529898406613,-0.8684924883736425,43.30770067343856,LOW,14.949999809265137,4.163000106811523
2026-01-02,76704.8359375,28.486403395704983,-0.8684924883736425,47.17493514900661,LOW,14.510000228881836,4.186999797821045
2026-01-03,77257.3359375,28.325942563253648,-0.8684924883736425,53.31147846239739,LOW,14.510000228881836,4.186999797821045
2026-01-04,78096.6484375,26.524831863401378,-0.8684924883736425,48.828345127868324,LOW,14.510000228881836,4.186999797821045
2026-01-05,80141.1484375,27.962631206816596,-0.8684924883736425,34.60145789938002,LOW,14.899999618530273,4.164999961853027
2026-01-06,80197.9296875,27.659051724948604,-0.8684924883736425,37.71506669185831,LOW,14.75,4.178999900817871
2026-01-07,78196.671875,29.11120092652238,-0.8684924883736425,22.253850561473364,LOW,15.380000114440918,4.138000011444092
2026-01-08,78081.3359375,27.856788231384545,-0.8684924883736425,37.32525335816884,LOW,15.449999809265137,4.183000087738037
2026-01-09,77793.203125,27.49388315398794,-0.8684924883736425,25.30312682410518,LOW,14.489999771118164,4.171000003814697
2026-01-10,77684.5234375,27.484699802752782,-0.8684924883736425,32.638821739546636,LOW,14.489999771118164,4.171000003814697
2026-01-11,78138.3203125,26.14393601362473,-0.8684924883736425,28.42915131297764,LOW,14.489999771118164,4.171000003814697
2026-01-12,78159.8671875,26.14409425045515,-0.8684924883736425,61.14705566308375,LOW,15.119999885559082,4.186999797821045
2026-01-13,81877.5,29.43419151961082,-0.8684924883736425,47.1725192040682,LOW,15.979999542236328,4.171000003814697
2026-01-14,83236.703125,28.452501690575488,-0.8684924883736425,48.2751875204961,LOW,16.75,4.139999866485596
2026-01-15,82307.796875,28.56810864746694,-0.8684924883736425,46.385677815220674,LOW,15.84000015258789,4.159999847412109
